date,value,timestamp
2025-06-01,39191.97,1763285993.2675369
2025-06-02,39194.5,1763285993.833725
2025-06-03,39197.03,1763285994.2823398
2025-06-04,39199.55,1763285994.7433038
2025-06-05,39202.08,1763285995.203647
2025-06-06,39204.61,1763285995.6765823
2025-06-07,39207.13,1763285996.2921045
2025-06-08,39209.66,1763285996.764774
2025-06-09,39212.19,1763285997.235405
2025-06-10,39214.8,1763285997.700365
2025-06-11,39217.41,1763285998.1613662
2025-06-12,39220.03,1763285998.597425
2025-06-13,39222.64,1763285999.0693028
2025-06-14,39225.25,1763285999.5311754
2025-06-15,39227.86,1763286000.0465581
2025-06-16,39230.48,1763286000.5141134
2025-06-17,39233.09,1763286000.961102
2025-06-18,39235.7,1763286001.5499291
2025-06-19,39238.31,1763286002.0285273
2025-06-20,39240.93,1763286002.5068557
2025-06-21,39243.54,1763286002.9862125
2025-06-22,39246.15,1763286003.486738
2025-06-23,39248.77,1763286003.944214
2025-06-24,39251.38,1763286004.418313
2025-06-25,39254.0,1763286004.9260256
2025-06-26,39256.61,1763286005.4246857
2025-06-27,39259.23,1763286005.9109504
2025-06-28,39261.84,1763286006.5349057
2025-06-29,39264.46,1763286007.0098746
2025-06-30,39267.07,1763286007.4998586
2025-07-01,39269.69,1763286007.9629455
2025-07-02,39272.3,1763286008.426577
2025-07-03,39274.92,1763286008.880271
2025-07-04,39277.53,1763286009.333343
2025-07-05,39280.15,1763286009.868675
2025-07-06,39282.76,1763286010.3505135
2025-07-07,39285.38,1763286010.8494859
2025-07-08,39288.0,1763286011.3307369
2025-07-09,39290.61,1763286011.9953167
2025-07-10,39285.53,1763286012.4803138
2025-07-11,39280.45,1763286012.942414
2025-07-12,39275.37,1763286013.393474
2025-07-13,39270.3,1763286013.904929
2025-07-14,39265.22,1763286014.37345
2025-07-15,39260.14,1763286014.8173857
2025-07-16,39255.07,1763286015.2619686
2025-07-17,39249.99,1763286015.7351334
2025-07-18,39244.92,1763286016.2008145
2025-07-19,39239.84,1763286016.731183
2025-07-20,39234.77,1763286017.2099657
2025-07-21,39229.7,1763286017.6794684
2025-07-22,39224.63,1763286018.3473048
2025-07-23,39219.56,1763286018.8338792
2025-07-24,39214.48,1763286019.2997413
2025-07-25,39209.42,1763286019.7432055
2025-07-26,39204.35,1763286020.2284014
2025-07-27,39199.28,1763286020.7258682
2025-07-28,39194.21,1763286021.1896737
2025-07-29,39189.14,1763286021.6505623
2025-07-30,39184.08,1763286022.17048
2025-07-31,39179.01,1763286022.6493104
2025-08-01,39173.95,1763286023.1931014
2025-08-02,39168.88,1763286023.7273746
2025-08-03,39163.82,1763286024.2113557
2025-08-04,39158.75,1763286024.7182033
2025-08-05,39153.69,1763286025.348657
2025-08-06,39148.63,1763286025.9182227
2025-08-07,39143.57,1763286026.3821259
2025-08-08,39138.51,1763286026.9840164
2025-08-09,39133.45,1763286027.5061924
2025-08-10,39144.76,1763286028.0121274
2025-08-11,39156.08,1763286028.4978824
2025-08-12,39167.4,1763286028.9735773
2025-08-13,39178.72,1763286029.462881
2025-08-14,39190.04,1763286029.9040322
2025-08-15,39201.37,1763286030.3790493
2025-08-16,39212.7,1763286031.0906289
2025-08-17,39224.04,1763286031.5817218
2025-08-18,39235.38,1763286032.0455935
2025-08-19,39246.72,1763286032.4933732
2025-08-20,39258.06,1763286032.9348931
2025-08-21,39269.41,1763286033.3831437
2025-08-22,39280.76,1763286033.8527558
2025-08-23,39292.12,1763286034.3472276
2025-08-24,39303.48,1763286034.9825249
2025-08-25,39314.84,1763286035.4387696
2025-08-26,39326.2,1763286035.8826272
2025-08-27,39337.57,1763286036.442619
2025-08-28,39348.94,1763286036.9093425
2025-08-29,39360.32,1763286037.3846087
2025-08-30,39371.69,1763286037.8149545
2025-08-31,39383.07,1763286038.2575362
2025-09-01,39394.46,1763286038.6985164
2025-09-02,39405.85,1763286039.2937794
2025-09-03,39417.24,1763286039.7518036
2025-09-04,39428.63,1763286040.210766
2025-09-05,39440.03,1763286040.6913803
2025-09-06,39451.43,1763286041.1645002
2025-09-07,39462.83,1763286041.6292803
2025-09-08,39474.24,1763286042.0903697
2025-09-09,39485.65,1763286042.5608559
2025-09-10,39485.65,1763286043.0067582
2025-09-11,39485.65,1763286043.4850702
2025-09-12,39485.65,1763286043.9645972
2025-09-13,39485.65,1763286044.4346583
2025-09-14,39485.65,1763286044.8932931
2025-09-15,39485.65,1763286045.356748
2025-09-16,39485.65,1763286046.012636
2025-09-17,39485.65,1763286046.4895673
2025-09-18,39485.65,1763286046.9425871
2025-09-19,39485.65,1763286047.505149
2025-09-20,39485.65,1763286047.9555643
2025-09-21,39485.65,1763286048.4108489
2025-09-22,39485.65,1763286048.9444337
2025-09-23,39485.65,1763286049.3936374
2025-09-24,39485.65,1763286049.8533967
2025-09-25,39485.65,1763286050.3735337
2025-09-26,39485.65,1763286050.8316898
2025-09-27,39485.65,1763286051.276717
2025-09-28,39485.65,1763286051.7501261
2025-09-29,39485.65,1763286052.1999528
2025-09-30,39485.65,1763286052.645986
2025-10-01,39485.65,1763286053.1384192
2025-10-02,39485.65,1763286053.6214888
2025-10-03,39485.65,1763286054.0887296
2025-10-04,39485.65,1763286054.5748768
2025-10-05,39485.65,1763286055.020571
2025-10-06,39485.65,1763286055.4635696
2025-10-07,39485.65,1763286055.9253845
2025-10-08,39485.65,1763286056.3910737
2025-10-09,39485.65,1763286056.8734913
2025-10-10,39490.74,1763286057.364574
2025-10-11,39495.82,1763286057.8245513
2025-10-12,39500.91,1763286058.2947876
2025-10-13,39505.99,1763286058.786463
2025-10-14,39511.08,1763286059.2517736
2025-10-15,39516.17,1763286059.7285645
2025-10-16,39521.26,1763286060.2223992
2025-10-17,39526.35,1763286060.7068002
2025-10-18,39531.44,1763286061.1796837
2025-10-19,39536.53,1763286061.6345222
2025-10-20,39541.62,1763286062.156839
2025-10-21,39546.71,1763286062.661042
2025-10-22,39551.81,1763286063.1830583
2025-10-23,39556.9,1763286063.6549294
2025-10-24,39562.0,1763286064.1152148
2025-10-25,39567.09,1763286064.5690303
2025-10-26,39572.19,1763286065.2015803
2025-10-27,39577.28,1763286065.6568227
2025-10-28,39582.38,1763286066.12498
2025-10-29,39587.48,1763286066.605987
2025-10-30,39592.57,1763286067.0849802
2025-10-31,39597.67,1763286067.5882447
2025-11-01,39602.77,1763286068.1347885
2025-11-10,39643.59,1763286364.8307412
2025-11-11,39643.59,1763286365.2994077
2025-11-12,39643.59,1763286365.746385
2025-11-13,39643.59,1763286366.2248785
2025-11-14,39643.59,1763286366.6714144
2025-11-15,39643.59,1763286367.1563947
2025-11-16,39643.59,1763286367.5975847
2025-11-06,39628.28,1763287319.5053678
2025-12-01,39643.59,1763287359.038492
2025-11-10,39643.59,1763290189.2675707
2025-11-11,39643.59,1763290189.8615706
2025-11-12,39643.59,1763290190.4785707
2025-11-13,39643.59,1763290191.07308
2025-11-14,39643.59,1763290191.7320821
2025-11-15,39643.59,1763290192.34608
2025-11-16,39643.59,1763290193.0550814
2025-11-10,39643.59,1763314949.062047
2025-11-11,39643.59,1763314950.9711506
2025-11-12,39643.59,1763314953.0311346
2025-11-13,39643.59,1763314954.0370831
2025-11-14,39643.59,1763314955.1130843
2025-11-15,39643.59,1763314956.1519463
2025-11-16,39643.59,1763314958.346751
2025-11-11,39643.59,1763420414.3997312
2025-11-12,39643.59,1763420414.7056274
2025-11-13,39643.59,1763420414.9995384
2025-11-14,39643.59,1763420415.2945004
2025-11-15,39643.59,1763420415.6422143
2025-11-16,39643.59,1763420415.9867494
2025-11-17,39643.59,1763420416.3582072
2025-11-11,39643.59,1763421063.2814424
2025-11-12,39643.59,1763421063.5348675
2025-11-13,39643.59,1763421064.0177498
2025-11-14,39643.59,1763421064.3511214
2025-11-15,39643.59,1763421064.6539156
2025-11-16,39643.59,1763421064.9593604
2025-11-17,39643.59,1763421065.2148912
2025-11-19,39643.59,1763421065.67985
2025-11-27,39643.59,1763421068.6452427
2025-12-07,39643.59,1763421075.1895626
